date,avg_price,min_price,max_price,opening_price,closing_price,price_change,price_change_pct,total_data_points,hours_with_data,calculated_at
2026-02-27,66013.75163714915,66013.32195188,66013.93479573,66013.67441609,66013.32195188,-0.3524642099946504,-0.0005339260586723,57,9,2026-02-27 16:04:17
2026-02-28,64430.26641938989,63527.23079519,65719.11070072,63670.86446771,65702.21166554,2031.3471978300004,3.1903873377754697,16832,572,2026-02-28 19:50:19
2026-03-08,67172.29308497284,66802.26167847,67509.41750244,67196.03355402,66946.97679478,-249.05675924000388,-0.37064205440010534,1785,80,2026-03-08 22:26:31
