date,hour,avg_price,min_price,max_price,first_price,last_price,data_points,calculated_at
2026-03-08,21,67196.03355402,67196.03355402,67196.03355402,67196.03355402,67196.03355402,2,2026-03-08 21:11:13
2026-03-08,21,67196.03355402,67196.03355402,67196.03355402,67196.03355402,67196.03355402,2,2026-03-08 21:11:13
2026-03-08,21,67195.59430601,67194.71580999,67196.03355402,67196.03355402,67194.71580999,3,2026-03-08 21:11:18
2026-03-08,21,67195.1352247225,67193.75798086,67196.03355402,67196.03355402,67193.75798086,4,2026-03-08 21:12:18
2026-03-08,21,67193.905857872,67188.98839047,67196.03355402,67196.03355402,67188.98839047,5,2026-03-08 21:13:18
2026-03-08,21,67193.08354048667,67188.97195356,67196.03355402,67196.03355402,67188.97195356,6,2026-03-08 21:13:23
2026-03-08,21,67191.4587093557,67181.70972257,67196.03355402,67196.03355402,67181.70972257,7,2026-03-08 21:14:23
2026-03-08,21,67184.51656645375,67135.92156614,67196.03355402,67196.03355402,67135.92156614,8,2026-03-08 21:15:23
2026-03-08,21,67177.90995893111,67125.05709875,67196.03355402,67196.03355402,67125.05709875,9,2026-03-08 21:16:23
2026-03-08,21,67171.50207467,67113.83111632,67196.03355402,67196.03355402,67113.83111632,10,2026-03-08 21:17:22
2026-03-08,21,67165.35405146818,67103.87381945,67196.03355402,67196.03355402,67103.87381945,11,2026-03-08 21:18:23
2026-03-08,21,67161.92921184083,67103.87381945,67196.03355402,67196.03355402,67124.25597594,12,2026-03-08 21:19:23
2026-03-08,21,67159.65064006078,67103.87381945,67196.03355402,67196.03355402,67132.3077787,13,2026-03-08 21:20:24
2026-03-08,21,67158.76782696287,67103.87381945,67196.03355402,67196.03355402,67147.29125669,14,2026-03-08 21:21:24
2026-03-08,21,67159.22412640935,67103.87381945,67196.03355402,67196.03355402,67165.61231866,15,2026-03-08 21:22:24
2026-03-08,21,67160.34313399062,67103.87381945,67196.03355402,67196.03355402,67177.12824771,16,2026-03-08 21:23:24
2026-03-08,21,67159.9422403294,67103.87381945,67196.03355402,67196.03355402,67153.52794175,17,2026-03-08 21:24:24
2026-03-08,21,67157.62169312054,67103.87381945,67196.03355402,67196.03355402,67118.17239057,18,2026-03-08 21:25:24
2026-03-08,21,67154.31404886158,67094.7764522,67196.03355402,67196.03355402,67094.7764522,19,2026-03-08 21:26:24
2026-03-08,21,67150.7165496375,67082.36406438,67196.03355402,67196.03355402,67082.36406438,20,2026-03-08 21:27:23
2026-03-08,21,67147.34039668713,67079.81733768,67196.03355402,67196.03355402,67079.81733768,21,2026-03-08 21:28:24
2026-03-08,21,67144.02520851362,67074.40625687,67196.03355402,67196.03355402,67074.40625687,22,2026-03-08 21:29:24
2026-03-08,21,67141.28286008042,67074.40625687,67196.03355402,67196.03355402,67080.95119455,23,2026-03-08 21:30:24
2026-03-08,21,67141.30538271,67074.40625687,67196.03355402,67196.03355402,67141.82340319,24,2026-03-08 21:31:24
2026-03-08,21,67141.8814254316,67074.40625687,67196.03355402,67196.03355402,67155.70645075,25,2026-03-08 21:32:23
2026-03-08,21,67144.51394167192,67074.40625687,67210.32684768,67196.03355402,67210.32684768,26,2026-03-08 21:33:25
2026-03-08,21,67147.04642010703,67074.40625687,67212.89085942,67196.03355402,67212.89085942,27,2026-03-08 21:34:24
2026-03-08,21,67150.66122884178,67074.40625687,67248.26106468,67196.03355402,67248.26106468,28,2026-03-08 21:35:26
2026-03-08,21,67155.42576668586,67074.40625687,67288.83282632,67196.03355402,67288.83282632,29,2026-03-08 21:36:24
2026-03-08,21,67161.216907122,67074.40625687,67329.15997977,67196.03355402,67329.15997977,30,2026-03-08 21:37:24
2026-03-08,21,67170.18634927903,67074.40625687,67439.26961399,67196.03355402,67439.26961399,31,2026-03-08 21:38:25
2026-03-08,21,67178.97380158814,67074.40625687,67451.38482317,67196.03355402,67451.38482317,32,2026-03-08 21:39:25
2026-03-08,21,67188.31647526244,67074.40625687,67487.28203284,67196.03355402,67487.28203284,33,2026-03-08 21:41:02
2026-03-08,21,67197.1145924406,67074.40625687,67487.45245932,67196.03355402,67487.45245932,34,2026-03-08 21:41:25
2026-03-08,21,67206.0375327263,67074.40625687,67509.41750244,67196.03355402,67509.41750244,35,2026-03-08 21:42:30
2026-03-08,21,67212.63308575752,67074.40625687,67509.41750244,67196.03355402,67443.47744185,36,2026-03-08 21:43:24
2026-03-08,21,67217.78162847272,67074.40625687,67509.41750244,67196.03355402,67403.12916622,37,2026-03-08 21:44:23
2026-03-08,21,67221.88225795212,67074.40625687,67509.41750244,67196.03355402,67373.60554869,38,2026-03-08 21:45:23
2026-03-08,21,67225.4663649972,67074.40625687,67509.41750244,67196.03355402,67361.66243271,39,2026-03-08 21:46:23
2026-03-08,21,67228.68739472874,67074.40625687,67509.41750244,67196.03355402,67354.30755426,40,2026-03-08 21:47:23
2026-03-08,21,67231.6303497995,67074.40625687,67509.41750244,67196.03355402,67349.34855263,41,2026-03-08 21:48:24
2026-03-08,21,67234.4186597688,67074.40625687,67509.41750244,67196.03355402,67348.73936851,42,2026-03-08 21:49:24
2026-03-08,21,67237.24713721836,67074.40625687,67509.41750244,67196.03355402,67356.0431901,43,2026-03-08 21:50:24
2026-03-08,21,67239.98980527114,67074.40625687,67509.41750244,67196.03355402,67357.92453154,44,2026-03-08 21:51:25
2026-03-08,21,67242.258528404,67074.40625687,67509.41750244,67196.03355402,67342.08234625,45,2026-03-08 21:52:23
2026-03-08,21,67244.16985849652,67074.40625687,67509.41750244,67196.03355402,67330.17971266,46,2026-03-08 21:53:23
2026-03-08,21,67245.90086668766,67074.40625687,67509.41750244,67196.03355402,67325.52724348,47,2026-03-08 21:54:24
2026-03-08,21,67246.56364383792,67074.40625687,67509.41750244,67196.03355402,67277.7141699,48,2026-03-08 21:55:25
2026-03-08,21,67246.86441277429,67074.40625687,67509.41750244,67196.03355402,67261.30132172,49,2026-03-08 21:56:24
2026-03-08,21,67246.8090420022,67074.40625687,67509.41750244,67196.03355402,67244.09587417,50,2026-03-08 21:57:25
2026-03-08,21,67246.8374084704,67074.40625687,67509.41750244,67196.03355402,67248.25573188,51,2026-03-08 21:58:25
2026-03-08,21,67246.69358249847,67074.40625687,67509.41750244,67196.03355402,67239.35845793,52,2026-03-08 21:59:23
2026-03-08,22,67234.06043136,67234.06043136,67234.06043136,67234.06043136,67234.06043136,1,2026-03-08 22:00:24
2026-03-08,22,67234.35134056001,67234.06043136,67234.64224976,67234.06043136,67234.64224976,2,2026-03-08 22:01:24
2026-03-08,22,67234.27476353668,67234.06043136,67234.64224976,67234.06043136,67234.12160949,3,2026-03-08 22:02:24
2026-03-08,22,67234.87170427751,67234.06043136,67236.6625265,67234.06043136,67236.6625265,4,2026-03-08 22:03:24
2026-03-08,22,67235.809862354,67234.06043136,67239.56249466,67234.06043136,67239.56249466,5,2026-03-08 22:04:24
2026-03-08,22,67234.65930105001,67228.90649453,67239.56249466,67234.06043136,67228.90649453,6,2026-03-08 22:05:24
2026-03-08,22,67231.82134437715,67214.79360434,67239.56249466,67234.06043136,67214.79360434,7,2026-03-08 22:06:23
2026-03-08,22,67227.83580278375,67199.93701163,67239.56249466,67234.06043136,67199.93701163,8,2026-03-08 22:07:23
2026-03-08,22,67223.58692623222,67189.59591382,67239.56249466,67234.06043136,67189.59591382,9,2026-03-08 22:08:23
