mins,price,closeTime,timestamp,fetch_time,price_float
5,67234.12160949,1773003743442,2026-03-08T22:02:23.656164,2026-03-08 22:02:23,67234.12160949
5,67236.6625265,1773003802313,2026-03-08T22:03:23.586121,2026-03-08 22:03:23,67236.6625265
5,67239.56249466,1773003863582,2026-03-08T22:04:23.734917,2026-03-08 22:04:23,67239.56249466
5,67228.90649453,1773003923426,2026-03-08T22:05:23.844842,2026-03-08 22:05:23,67228.90649453
5,67214.79360434,1773003981635,2026-03-08T22:06:22.904935,2026-03-08 22:06:22,67214.79360434
5,67199.93701163,1773004042644,2026-03-08T22:07:22.988538,2026-03-08 22:07:22,67199.93701163
5,67189.59591382,1773004101725,2026-03-08T22:08:23.262965,2026-03-08 22:08:23,67189.59591382
5,67170.06549924,1773004163188,2026-03-08T22:09:23.370961,2026-03-08 22:09:23,67170.06549924
5,67066.79456718,1773004222909,2026-03-08T22:10:23.316888,2026-03-08 22:10:23,67066.79456718
5,67037.19319884,1773004283358,2026-03-08T22:11:23.614171,2026-03-08 22:11:23,67037.19319884
5,67014.09526814,1773004343354,2026-03-08T22:12:23.699786,2026-03-08 22:12:23,67014.09526814
5,66988.63567688,1773004403667,2026-03-08T22:13:23.860734,2026-03-08 22:13:23,66988.63567688
5,66847.08389695,1773004461881,2026-03-08T22:14:22.740052,2026-03-08 22:14:22,66847.08389695
5,66817.19681635,1773004522513,2026-03-08T22:15:22.895572,2026-03-08 22:15:22,66817.19681635
5,66812.31495163,1773004582911,2026-03-08T22:16:23.237554,2026-03-08 22:16:23,66812.31495163
5,66809.29598746,1773004640156,2026-03-08T22:17:23.388884,2026-03-08 22:17:23,66809.29598746
5,66802.26167847,1773004702883,2026-03-08T22:18:23.427052,2026-03-08 22:18:23,66802.26167847
5,66838.54527298,1773004762023,2026-03-08T22:19:23.561005,2026-03-08 22:19:23,66838.54527298
5,66857.7189539,1773004821818,2026-03-08T22:20:23.793742,2026-03-08 22:20:23,66857.7189539
5,66872.18544098,1773004878866,2026-03-08T22:21:22.942991,2026-03-08 22:21:22,66872.18544098
5,66884.90433239,1773004942520,2026-03-08T22:22:23.018502,2026-03-08 22:22:23,66884.90433239
5,66885.42150807,1773004948545,2026-03-08T22:22:29.126945,2026-03-08 22:22:29,66885.42150807
5,66893.51735062,1773005007215,2026-03-08T22:23:28.530729,2026-03-08 22:23:28,66893.51735062
5,66905.30028277,1773005068083,2026-03-08T22:24:28.569100,2026-03-08 22:24:28,66905.30028277
5,66936.33161715,1773005128655,2026-03-08T22:25:28.862216,2026-03-08 22:25:28,66936.33161715
5,66946.97679478,1773005187693,2026-03-08T22:26:29.201318,2026-03-08 22:26:29,66946.97679478
